PlayerCode,PlayerName,BowlerCode,Versus Player Type,Balls,Outs,4s,6s,Wicket Prob,Dot Prob,Single Prob,4 Prob,6 Prob
MS,Shami,1,Left-arm Chinaman,3,0,1,0,0,0.333,0.333666667,0.333333333,0
MS,Shami,2,Left-arm Fast,1,0,0,0,0,0,1,0,0
MS,Shami,3,Left-arm Medium,14,1,1,0,0.071428571,0.429,0.428142858,0.071428571,0
MS,Shami,4,Left-arm Orthodox,7,2,0,0,0.285714286,0.571,0.143285714,0,0
MS,Shami,5,Right-arm Fast,9,1,0,0,0.111111111,0.556,0.332888889,0,0
MS,Shami,6,Right-arm Legbreak,2,1,0,0,0.5,0.5,0,0,0
MS,Shami,7,Right-arm Medium,29,1,3,1,0.034482759,0.414,0.413586206,0.103448276,0.034482759
MS,Shami,8,Right-arm Offbreak,8,3,0,0,0.375,0.625,0,0,0
UY,Umesh,1,Left-arm Chinaman,1,1,0,0,1,0,0,0,0
UY,Umesh,2,Left-arm Fast,5,1,0,0,0.2,0.8,0,0,0
UY,Umesh,3,Left-arm Medium,32,4,5,3,0.125,0.438,0.187,0.15625,0.09375
UY,Umesh,4,Left-arm Orthodox,7,1,0,0,0.142857143,0.714,0.143142857,0,0
UY,Umesh,5,Right-arm Fast,23,1,0,1,0.043478261,0.652,0.261043478,0,0.043478261
UY,Umesh,6,Right-arm Legbreak,12,1,1,0,0.083333333,0.75,0.083333334,0.083333333,0
UY,Umesh,7,Right-arm Medium,86,5,7,4,0.058139535,0.372,0.441953488,0.081395349,0.046511628
UY,Umesh,8,Right-arm Offbreak,8,2,2,0,0.25,0.625,0.125,0,0
